subject, run, block, trial, mu1, mu2, choice, reward, RT, cond, trial_onset, choice_onset, feedback_onset 
1,1.0,1.0,1.0,-14.0,-7.0,2.0,-7.0,1238.2478714,1,17.022769928,18.3007338047,20.8510568142
1,1.0,1.0,2.0,-14.0,-7.0,1.0,-19.0,700.377941132,1,27.7356657982,28.4810807705,30.3643519878
1,1.0,1.0,3.0,-14.0,-7.0,1.0,-14.0,654.445171356,1,38.6316978931,39.328045845,40.6119139194
1,1.0,1.0,4.0,-14.0,-7.0,1.0,-15.0,470.947027206,1,48.9619369507,49.4748258591,51.7235519886
1,1.0,1.0,5.0,-14.0,-7.0,1.0,-15.0,520.896911621,1,59.9422118664,60.5052609444,61.7227058411
1,1.0,1.0,6.0,-14.0,-7.0,1.0,-21.0,420.675992966,1,70.2891898155,70.7507908344,73.3182067871
1,1.0,1.0,7.0,-14.0,-7.0,2.0,-7.0,337.546110153,1,81.1027128696,81.4824728966,83.4162008762
1,1.0,1.0,8.0,-14.0,-7.0,1.0,-18.0,404.153108597,1,92.916741848,93.3623859882,96.1786448956
1,1.0,1.0,9.0,-14.0,-7.0,1.0,-13.0,520.618915558,1,105.530466795,106.092090845,107.258835793
1,1.0,1.0,10.0,-14.0,-7.0,1.0,-10.0,420.70889473,1,115.543546915,116.006011963,118.43895793
1,1.0,2.0,1.0,3.0,8.0,2.0,1.0,971.847057343,2,132.239281893,133.250795841,135.26740098
1,1.0,2.0,2.0,3.0,8.0,1.0,3.0,654.411077499,2,142.669089794,143.364701986,145.846513987
1,1.0,2.0,3.0,3.0,8.0,2.0,6.0,504.216909409,2,153.613366842,154.161448956,156.761686802
1,1.0,2.0,4.0,3.0,8.0,1.0,3.0,604.72202301,2,165.878136873,166.524552822,168.040577888
1,1.0,2.0,5.0,3.0,8.0,1.0,3.0,520.940065384,2,175.575392962,176.138212919,178.222015858
1,1.0,2.0,6.0,3.0,8.0,2.0,10.0,820.770025253,2,185.73929882,186.618902922,189.352339983
1,1.0,2.0,7.0,3.0,8.0,1.0,3.0,437.23487854,2,198.302232981,198.781919956,200.46514678
1,1.0,2.0,8.0,3.0,8.0,1.0,3.0,504.112005234,2,208.883078814,209.428794861,212.045081854
1,1.0,2.0,9.0,3.0,8.0,1.0,3.0,537.473917007,2,220.812984943,221.391992807,222.875310898
1,1.0,2.0,10.0,3.0,8.0,1.0,3.0,686.900138855,2,231.143423796,231.872332811,233.455631971
1,1.0,3.0,1.0,-6.0,-5.0,1.0,-12.0,1688.70401382,3,247.655603886,249.383916855,252.200828791
1,1.0,3.0,2.0,-6.0,-5.0,2.0,-3.0,420.827150345,3,260.251503944,260.71388483,261.864484787
1,1.0,3.0,3.0,-6.0,-5.0,2.0,-5.0,454.097032547,3,270.480796814,270.977822781,273.461418867
1,1.0,3.0,4.0,-6.0,-5.0,2.0,-11.0,537.775039673,3,282.227900982,282.807570934,284.557525873
1,1.0,3.0,5.0,-6.0,-5.0,1.0,-7.0,404.143095016,3,293.258713007,293.70439887,295.704260826
1,1.0,3.0,6.0,-6.0,-5.0,1.0,-4.0,387.565135956,3,305.205415964,305.634291887,307.434213877
1,1.0,3.0,7.0,-6.0,-5.0,1.0,-3.0,404.268980026,3,315.985552788,316.497821808,318.530957937
1,1.0,3.0,8.0,-6.0,-5.0,1.0,-9.0,470.848798752,3,327.43223381,327.944584846,329.727827787
1,1.0,3.0,9.0,-6.0,-5.0,2.0,-8.0,603.563070297,3,337.595866919,338.24138689,341.09107399
1,1.0,3.0,10.0,-6.0,-5.0,2.0,1.0,537.166833878,3,349.325810909,349.904907942,351.488248825
1,1.0,4.0,1.0,17.0,1.0,1.0,17.0,905.537843704,4,365.355644941,366.300153971,367.783608913
1,1.0,4.0,2.0,17.0,1.0,2.0,1.0,953.978061676,4,375.268297911,376.263908863,378.897308826
1,1.0,4.0,3.0,17.0,1.0,1.0,17.0,387.669086456,4,386.897537947,387.327133894,389.010868788
1,1.0,4.0,4.0,17.0,1.0,1.0,17.0,421.029090881,4,398.061069965,398.524153948,400.37405777
1,1.0,4.0,5.0,17.0,1.0,1.0,17.0,587.415218353,4,408.308036804,408.937740803,410.737679005
1,1.0,4.0,6.0,17.0,1.0,1.0,17.0,370.783805847,4,419.722062826,420.150895834,421.267865896
1,1.0,4.0,7.0,17.0,1.0,1.0,17.0,554.151058197,4,429.519299984,430.114931822,432.398097992
1,1.0,4.0,8.0,17.0,1.0,1.0,17.0,454.573154449,4,440.149724007,440.645302773,443.04489994
1,1.0,4.0,9.0,17.0,1.0,1.0,17.0,404.10399437,4,452.545992851,452.991675854,455.191456795
1,1.0,4.0,10.0,17.0,1.0,1.0,17.0,404.132127762,4,462.909691811,463.355268955,464.905296803
1,2.0,5.0,1.0,4.0,5.0,1.0,4.0,1505.23400307,2,17.0254430771,18.5677139759,20.7681560516
1,2.0,5.0,2.0,4.0,5.0,2.0,-0.0,370.919942856,2,27.2259869576,27.6315441132,30.1984219551
1,2.0,5.0,3.0,4.0,5.0,2.0,2.0,370.826005936,2,37.8997280598,38.3119130135,41.1286480427
1,2.0,5.0,4.0,4.0,5.0,1.0,4.0,487.257003784,2,49.8130159378,50.3416800499,52.7086310387
1,2.0,5.0,5.0,4.0,5.0,1.0,4.0,354.247808456,2,60.3100979328,60.7055239677,62.9558498859
1,2.0,5.0,6.0,4.0,5.0,1.0,4.0,470.833778381,2,71.4066929817,71.9187180996,73.1693410873
1,2.0,5.0,7.0,4.0,5.0,2.0,13.0,370.828866959,2,80.9872450829,81.399310112,83.099834919
1,2.0,5.0,8.0,4.0,5.0,2.0,11.0,337.563991547,2,90.9177620411,91.2964580059,94.1798219681
1,2.0,5.0,9.0,4.0,5.0,2.0,-0.0,354.025125504,2,101.831451893,102.226775885,104.593689919
1,2.0,5.0,10.0,4.0,5.0,2.0,3.0,354.397058487,2,112.328185081,112.723567963,114.757313013
1,2.0,6.0,1.0,4.0,4.0,2.0,4.0,1238.85607719,4,129.860959053,131.134929895,132.418380976
1,2.0,6.0,2.0,4.0,4.0,1.0,4.0,454.015016556,4,139.989454985,140.4988451,143.047123909
1,2.0,6.0,3.0,4.0,4.0,1.0,4.0,404.183149338,4,150.435566902,150.879208088,152.845670938
1,2.0,6.0,4.0,4.0,4.0,1.0,4.0,654.319047928,4,160.599344015,161.291299105,164.142502069
1,2.0,6.0,5.0,4.0,4.0,1.0,4.0,374.55701828,4,171.611804008,172.023060083,173.321510077
1,2.0,6.0,6.0,4.0,4.0,1.0,4.0,337.565898895,4,182.742089987,183.136496067,185.386425018
1,2.0,6.0,7.0,4.0,4.0,1.0,4.0,387.39991188,4,194.47191596,194.899820089,196.182804108
1,2.0,6.0,8.0,4.0,4.0,1.0,4.0,354.172945023,4,204.020004988,204.413769007,206.330291033
1,2.0,6.0,9.0,4.0,4.0,1.0,4.0,454.216957092,4,215.832298994,216.326976061,217.993598938
1,2.0,6.0,10.0,4.0,4.0,1.0,4.0,420.938014984,4,225.66288805,226.124206066,228.473999023
1,2.0,7.0,1.0,12.0,6.0,2.0,6.0,1372.11298943,1,242.20994997,243.619152069,245.585733891
1,2.0,7.0,2.0,12.0,6.0,1.0,8.0,320.97196579,1,253.038638115,253.399600983,256.316387892
